UF de notificaá∆o;2014;2015;2016;2017;2018;2019;2020;2021;Total
11 Rondìnia;1978;2322;7860;2120;544;1007;3889;-;19844
12 Acre;28635;5861;2257;1932;7381;10259;7826;13;64336
13 Amazonas;6358;3649;7445;3890;2341;4155;5981;-;33943
14 Roraima;1134;1098;210;282;114;1625;543;-;5028
15 Par†;4506;7927;10747;7789;3745;5384;3646;-;44031
16 Amap†;2227;3339;1842;918;767;189;34;-;9366
17 Tocantins;3636;8045;7885;4915;3095;13569;2241;-;43643
21 Maranh∆o;2675;8069;23653;7132;2132;5593;2516;-;52084
22 Piau°;7672;7737;5255;5289;1936;8010;2193;-;38257
23 Cear†;22861;63433;49635;39138;4155;16284;23653;1;219907
24 Rio Grande do Norte;11570;23014;56791;7463;23724;31978;7091;3;162225
25 Para°ba;5668;23273;35712;3970;10838;18963;6464;-;105356
26 Pernambuco;10625;112981;60799;7897;11248;37928;21329;6;263637
27 Alagoas;13219;28389;18078;2920;2248;20990;2335;1;88732
28 Sergipe;2300;9298;3490;617;233;6030;1890;-;23952
29 Bahia;13961;56229;66839;9822;9814;67909;82748;1;308803
31 Minas Gerais;58246;195597;525713;26139;30277;476795;84530;6;1400513
32 Esp°rito Santo;18839;36442;42253;6836;10637;64754;7098;-;187546
33 Rio de Janeiro;7757;75433;86097;10898;14962;31920;4311;-;232474
35 S∆o Paulo;228189;749588;200286;9465;19732;444126;208816;23;1863440
41 Paran†;22753;46130;62473;2213;1452;46553;264991;41;447414
42 Santa Catarina;144;4555;5114;182;191;2160;11982;1;24374
43 Rio Grande do Sul;154;1740;3178;173;133;1626;4000;1;11027
50 Mato Grosso do Sul;3402;32789;46174;2380;5649;65424;52294;2;208657
51 Mato Grosso;7123;22447;20413;9322;7262;11318;34407;4;112797
52 Goi†s;92714;169298;128391;63942;92078;119539;58965;2;728067
53 Distrito Federal;13169;10416;19261;4222;2588;39466;51163;6;141200
